Tag1,Tag2,Num_Occurrence
bluetooth,remote-control,3
juniors,size,1
mindstorms,pathfinding,2
cleaning,tools,2
software,wedo,1
lego-dimensions,set-identification,2
building,modular-buildings,1
mindstorms,monobrick,1
micro-scale,terminology,2
lego-games,minifigures,1
shopping,space,1
mindstorms,terminology,1
history,safety,2
vehicle,wedo,1
motors,software,1
motor,trains,3
set-identification,theme,2
star-wars,value,2
scratch,wedo,1
programming,software,6
ev3,motors,9
heroica,ldraw,1
mindstorms,robotic,7
3rd-party,set-identification,1
city,instructions,2
monorail,piece-information,1
manufacturing,trains,1
piece-information,storage,2
programming,python,1
building,lego-group,2
minifigures,piece-information,2
clone-brands,piece-information,8
micro-scale,theme,1
building,video-games,1
motors,nxt-g,3
3rd-party,mindstorms,3
building,snot,8
powered-up,trains,5
piece-information,set-numbering,1
part-database,sets,1
bricklink,part-identification,4
ldraw,size,2
instructions,play-off,1
minifigure-identification,part-identification,3
duplo,shopping,2
colour,software,2
organisation,set-database,1
cad,manufacturing,2
compatibility,history,1
labview,nxt,8
lejos,motors,1
monorail,trains,2
3rd-party,plastics,1
motors,set-modification,3
storage,transport,2
piece-information,power-functions,3
instructions,nxt-g,1
discontinued,piece-information,2
duplo,powered-up,1
programming,scratch,1
bridge,technic,1
clone-brands,vehicle,1
design,nxt,2
building,moc,9
part-identification,shopping,1
part-identification,repair,1
disassembly,steering,1
motors,repair,5
customization,shopping,2
piece-information,set-database,1
brick,piece-information,5
inventory,piece-information,2
ev3,monobrick,3
brick,lugbulk,1
customization,repair,1
colour,ev3,3
ldd,tracks,2
bionicle,shopping,1
afol,sociology,1
duplo,piece-information,5
powered-up,wedo,3
architecture,piece-information,1
balls,ev3,1
mindstorms,scratch,1
bricklink,ldd,2
brick,bricklink,3
piece-information,size,10
size,slope,1
technic,vehicle,3
angles,snot,1
building,powered-up,1
shopping,technic,6
nxt-g,programming,7
packaging,transport,1
building,technic,40
shopping,vehicle,2
programming,trains,1
rcx,software,12
building,packaging,1
set-modification,technic,5
collectable-minifigures,storage,1
mindstorms,wedo,1
bridge,building,2
moc,snot,1
fll,technic,1
gyro,programming,1
lego-games,part-identification,1
piece-information,repair,2
sets,stickers,1
colour,quality,1
durability,safety,1
nxt,robotc,2
piece-information,snot,2
building,instructions,7
bluetooth,mac,1
stickers,technic,1
accessories,sets,1
9v,technic,1
design,moc,4
cad,instructions,1
history,snot,1
building,snir,1
lego-group,piece-information,1
ebay,shopping,2
manufacturing,value,1
labview,programming,8
building,set-identification,5
3rd-party,clone-brands,4
balls,piece-information,1
education,shopping,1
part-database,set-database,1
piece-information,records,3
automation,nxt,3
motors,power-functions,20
balls,mechanical,1
snot,software,1
powered-up,remote-control,1
compatibility,minifigures,3
instructions,sets,5
city,lego-group,1
hero-factory,replacement-parts,1
lego-store,star-wars,1
customization,friends,1
building,trains,2
building,set-database,1
bridge,instructions,1
pick-a-brick,piece-information,1
design,sets,6
lighting,piece-information,2
brick,shopping,2
customization,manufacturing,3
12v,motors,2
history,piece-information,12
inventory,storage,2
design,instructions,3
mindstorms,repair,3
preservation,vintage,1
manufacturing,wheel,1
minifigures,replacement-parts,5
brick,moc,1
minifigures,shopping,14
scale,wheel,1
afol,star-wars,1
space,the-lego-movie,1
instructions,trading,1
building,duplo,2
fll,mindstorms,1
city,remote-control,2
ev3,programming,67
stickers,storage,1
